# m n lo up gens time_s logN
# m n lo up gens time_s logN
376 161 1 1 0 0.32900000000000000000000000000000000000 -0.96380847325500503650151361858098859690
376 221 1 1 0 0.41200000000000000000000000000000000000 -0.13542525605433513865358854941525865224
376 247 1 1 1 0.019000000000000000000000000000000000000 -0.43127002558261674409553610788033516219
376 287 0 0 0 0.067000000000000000000000000000000000000 -1.1161460569853704775980343950127705046
376 365 0 0 0 0.097000000000000000000000000000000000000 -4.9058455780819495897802134347385225858
377 74 2 2 2 0.024000000000000000000000000000000000000 4.1578387046349223967561416922665240469
377 106 1 1 0 0.35600000000000000000000000000000000000 2.5127914636668654614532354248720403909
377 124 1 1 1 0.065000000000000000000000000000000000000 1.5792027539480163653359752783606886836
377 146 1 1 0 0.27800000000000000000000000000000000000 -0.013263884458287464253703867223023146783
377 176 1 1 1 0.017000000000000000000000000000000000000 -0.15406206474263416158794336791060889508
377 184 2 2 2 0.026000000000000000000000000000000000000 -0.042341791428868639426824499972643204354
377 244 1 1 1 0.019000000000000000000000000000000000000 -0.38264686850852023694705266487845038628
377 328 1 1 1 0.020000000000000000000000000000000000000 -2.2324345554739240361526860997217325263
377 344 0 0 0 0.060000000000000000000000000000000000000 -2.9531421963556466558616679560552599190
378 59 1 1 1 0.017000000000000000000000000000000000000 5.0694942074523906309091751841896955104
378 157 1 1 1 0.017000000000000000000000000000000000000 -3.0312058669148042860583571052245385070
379 286 1 1 0 0.46900000000000000000000000000000000000 -1.0485345290807732979606181328417983417
380 93 1 1 1 0.020000000000000000000000000000000000000 3.1970446005524660537776822360176503522
380 163 1 1 0 0.28700000000000000000000000000000000000 -0.92489133782099774362737273683706640065
380 181 1 1 0 0.26900000000000000000000000000000000000 -0.092157509295226036808810466382615765471
380 193 0 0 0 0.019000000000000000000000000000000000000 -0.0039413366694874721234906041663845986468
380 313 0 2 0 0.53000000000000000000000000000000000000 -1.6678177764924183416097627816637846483
380 341 1 1 1 0.018000000000000000000000000000000000000 -2.6644384285631899889243134112668240907
381 164 0 0 0 0.062000000000000000000000000000000000000 -0.85426219642620287151702053378019676767
381 178 2 2 2 0.021000000000000000000000000000000000000 -0.15135532465433268169802125968081552791
381 214 1 1 0 0.37100000000000000000000000000000000000 -0.059539566590124896249522569578358939968
382 129 1 1 0 0.34400000000000000000000000000000000000 1.3911175693628397063158926212766482264
382 253 1 1 0 0.32400000000000000000000000000000000000 -0.45922732916902073308240866801184963797
382 287 1 1 1 0.050000000000000000000000000000000000000 -1.0234039742703921419228980171482013466
383 240 2 2 2 0.025000000000000000000000000000000000000 -0.28683679926505623100954747762612543818
383 266 1 1 1 0.024000000000000000000000000000000000000 -0.64047224852577537221502832703165566226
384 329 1 1 1 0.021000000000000000000000000000000000000 -2.0534777751907289508850291786963664293
386 85 1 1 0 0.40000000000000000000000000000000000000 3.6711108180908731339264140360742224065
